Make,Model,Year,MPG City,MPG Highway,Gears,Drive Type,Horsepower,Torque,Length,Height,Width
Acura,2010 Acura MDX,2010,16,21,6,AWD,300,270,3,197,202
Acura,2010 Acura RDX,2010,19,24,5,FWD,240,260,27,119,78
Acura,2010 Acura RL,2010,16,22,5,AWD,300,271,109,175,55
Acura,2010 Acura TL,2010,18,26,5,FWD,280,254,101,172,88
Acura,2010 Acura TSX,2010,21,30,5,FWD,201,170,107,160,48
Acura,2010 Acura ZDX,2010,16,23,6,AWD,300,270,23,60,203
Acura,2011 Acura MDX,2011,16,21,6,AWD,300,270,3,197,202
Acura,2011 Acura RDX,2011,19,24,5,FWD,240,260,27,119,78
Acura,2011 Acura RL,2011,17,24,6,AWD,300,271,109,175,55
Acura,2011 Acura TL,2011,18,26,5,FWD,280,254,101,172,88
Acura,2011 Acura TSX,2011,22,31,5,FWD,201,170,107,160,48
Acura,2011 Acura TSX Sport Wagon,2011,22,30,5,FWD,201,170,197,190,48
Acura,2011 Acura ZDX,2011,16,23,6,AWD,300,270,23,60,203
Acura,2012 Acura MDX,2012,16,21,6,AWD,300,270,3,197,202
Acura,2012 Acura RL,2012,17,24,6,AWD,300,271,109,175,55
Acura,2012 Acura TL,2012,20,29,6,FWD,280,254,63,172,87
Acura,2012 Acura TSX,2012,22,31,5,FWD,201,170,107,160,48
Acura,2012 Acura TSX Sport Wagon,2012,22,30,5,FWD,201,170,197,190,48
Acura,2012 Acura ZDX,2012,16,23,6,AWD,300,270,23,60,203
Aston Martin,2010 Aston Martin DB9 Coup,2010,11,17,6,RWD,470,443,102,246,83
Aston Martin,2010 Aston Martin DB9 Volante,2010,11,17,6,RWD,470,443,102,246,83
Aston Martin,2010 Aston Martin Rapide,2010,13,19,6,RWD,470,443,155,78,92
Aston Martin,2010 Aston Martin V8 Vantage Coup,2010,12,19,6,RWD,420,346,29,233,74
Aston Martin,2010 Aston Martin V8 Vantage Roadster,2010,12,19,6,RWD,420,346,29,246,74
Aston Martin,2011 Aston Martin DB9 Coup,2011,11,17,6,RWD,470,443,102,246,83
Aston Martin,2011 Aston Martin DB9 Volante,2011,11,17,6,RWD,470,443,102,246,83
Aston Martin,2011 Aston Martin DBS Volante,2011,11,17,6,RWD,510,420,112,9,113
Aston Martin,2011 Aston Martin Rapide,2011,13,19,6,RWD,470,443,155,80,137
Aston Martin,2011 Aston Martin V12 Vantage,2011,11,17,6,RWD,510,420,33,217,73
Aston Martin,2011 Aston Martin V8 Vantage Coup,2011,13,19,6,RWD,420,346,30,236,74
Aston Martin,2011 Aston Martin V8 Vantage Roadster,2011,13,19,6,RWD,420,346,30,236,74
Aston Martin,2011 Aston Martin Virage Coup,2011,13,18,6,RWD,490,420,96,2,113
Aston Martin,2011 Aston Martin Virage Volante,2011,13,18,6,RWD,490,420,96,7,113
Aston Martin,2012 Aston Martin DB9 Coup,2012,13,20,6,RWD,470,443,102,246,83
Aston Martin,2012 Aston Martin DB9 Volante,2012,11,17,6,RWD,470,443,102,246,83
Aston Martin,2012 Aston Martin DBS Volante,2012,12,18,6,RWD,510,420,112,9,113
Aston Martin,2012 Aston Martin Rapide,2012,13,19,6,RWD,470,443,155,80,137
Aston Martin,2012 Aston Martin V12 Vantage,2012,13,19,6,RWD,510,420,33,217,73
Aston Martin,2012 Aston Martin V8 Vantage Coup,2012,13,19,6,RWD,420,346,30,236,74
Aston Martin,2012 Aston Martin V8 Vantage Roadster,2012,13,19,6,RWD,430,361,30,236,74
Aston Martin,2012 Aston Martin Virage Coup,2012,13,18,6,RWD,490,420,96,2,113
Aston Martin,2012 Aston Martin Virage Volante,2012,13,18,6,RWD,490,420,96,7,113
Audi,2009 Audi A3,2009,18,25,6,AWD,250,236,143,140,202
Audi,2009 Audi A4 Sedan,2009,22,30,6,AWD,211,258,96,147,34
Audi,2009 Audi A5,2009,16,27,6,AWD,265,243,17,91,62
Audi,2009 Audi Q5,2009,18,23,6,AWD,270,243,20,117,88
Audi,2009 Audi Q7,2009,13,18,6,AWD,350,325,221,201,191
Audi,2010 Audi A3,2010,21,30,6,FWD,200,207,196,143,203
Audi,2010 Audi A4 Avant,2010,23,30,6,AWD,211,258,95,155,34
Audi,2010 Audi A4 Sedan,2010,21,27,6,AWD,211,258,95,147,34
Audi,2010 Audi A5 Cabriolet,2010,20,26,6,AWD,211,258,17,103,228
Audi,2010 Audi A5 Coupe,2010,22,30,6,AWD,211,258,17,92,62
Audi,2010 Audi A6 Avant,2010,18,26,6,AWD,300,310,69,198,220
Audi,2010 Audi A6 Sedan,2010,18,26,6,AWD,300,310,52,179,220
Audi,2010 Audi A8,2010,16,23,6,AWD,350,325,198,164,236
Audi,2010 Audi Q5,2010,18,23,6,AWD,270,243,21,117,41
Audi,2010 Audi Q7,2010,14,19,6,AWD,280,266,223,201,191
Audi,2010 Audi R8 Coupe,2010,12,20,6,AWD,525,391,83,228,138
Audi,2010 Audi S4 Sedan,2010,18,27,6,AWD,333,325,109,126,34
Audi,2010 Audi S5 Coupe,2010,16,24,6,AWD,354,325,27,89,62
Audi,2010 Audi S6,2010,14,19,6,AWD,435,398,52,169,220
Audi,2011 Audi A3,2011,21,30,6,FWD,200,207,196,143,203
Audi,2011 Audi A4 Avant,2011,21,29,8,AWD,211,258,95,156,214
Audi,2011 Audi A4 Sedan,2011,21,31,6,AWD,211,258,95,147,214
Audi,2011 Audi A5 Cabriolet,2011,21,29,8,AWD,211,258,14,101,227
Audi,2011 Audi A5 Coupe,2011,21,29,8,AWD,211,258,17,92,189
Audi,2011 Audi A6 Avant,2011,18,26,6,AWD,300,310,69,198,220
Audi,2011 Audi A6 Sedan,2011,18,26,6,AWD,300,310,63,179,237
Audi,2011 Audi A8,2011,17,27,8,AWD,372,328,17,180,63
Audi,2011 Audi Q5,2011,20,27,8,AWD,211,258,21,117,41
Audi,2011 Audi Q7,2011,16,22,8,AWD,333,325,225,201,129
Audi,2011 Audi R8 Coupe,2011,11,20,6,AWD,420,317,82,228,138
Audi,2011 Audi R8 Spyder,2011,11,20,6,AWD,420,317,79,220,113
Audi,2011 Audi S4 Sedan,2011,18,27,6,AWD,333,325,95,147,214
Audi,2011 Audi S5 Coupe,2011,16,24,6,AWD,354,325,17,92,62
Audi,2011 Audi S6,2011,14,21,6,AWD,435,398,52,169,237
Audi,2012 Audi A3,2012,21,30,6,FWD,200,207,196,143,203
Audi,2012 Audi A4 Avant,2012,21,29,8,AWD,211,258,95,156,248
Audi,2012 Audi A4 Sedan,2012,21,31,6,AWD,211,258,95,147,248
Audi,2012 Audi A5 Cabriolet,2012,21,29,8,AWD,211,258,17,103,228
Audi,2012 Audi A5 Coupe,2012,21,31,6,AWD,211,258,17,92,189
Audi,2012 Audi A6 Sedan,2012,19,28,8,AWD,310,325,61,188,82
Audi,2012 Audi A7,2012,18,28,8,AWD,310,325,105,140,91
Audi,2012 Audi A8,2012,18,28,8,AWD,372,328,147,191,63
Audi,2012 Audi Q5,2012,20,27,8,AWD,211,258,21,117,41
Audi,2012 Audi Q7,2012,16,22,8,AWD,333,325,225,201,129
Audi,2012 Audi R8 Coupe,2012,11,20,6,AWD,430,316,79,228,237
Audi,2012 Audi R8 Spyder,2012,11,20,6,AWD,430,316,79,220,237
Audi,2012 Audi S4 Sedan,2012,18,27,6,AWD,333,325,109,126,248
Audi,2012 Audi S5 Coupe,2012,16,24,6,AWD,354,325,27,89,228
Audi,2012 Audi TT RS,2012,18,25,6,AWD,360,343,102,62,50
BMW,2009 BMW 7 Series,2009,15,22,6,RWD,400,450,210,200,110
BMW,2010 BMW 1 Series Convertible,2010,18,27,6,RWD,230,200,9,132,211
BMW,2010 BMW 1 Series Coupe,2010,18,25,6,RWD,300,300,9,127,211
BMW,2010 BMW 3 Series Convertible,2010,17,26,6,RWD,230,200,227,104,247
BMW,2010 BMW 3 Series Coup,2010,18,28,6,RWD,230,200,247,94,247
BMW,2010 BMW 3 Series Sedan,2010,17,26,6,RWD,300,300,174,139,24
BMW,2010 BMW 3 Series Sports Wagon,2010,17,25,6,AWD,230,200,184,137,24
BMW,2010 BMW 5 Series Gran Turismo,2010,19,28,8,RWD,300,300,134,23,107
BMW,2010 BMW 5 Series Sedan,2010,16,25,6,AWD,300,300,245,200,54
BMW,2010 BMW 5 Series Sports Wagon,2010,16,24,6,AWD,300,300,248,210,54
BMW,2010 BMW 6 Series Convertible,2010,14,21,6,RWD,360,360,223,94,62
BMW,2010 BMW 6 Series Coup,2010,15,22,6,RWD,360,360,223,94,62
BMW,2010 BMW 7 Series,2010,14,20,6,AWD,400,450,94,200,110
BMW,2010 BMW M3 Convertible,2010,13,20,6,RWD,414,295,7,111,11
BMW,2010 BMW M3 Coup,2010,14,20,6,RWD,414,295,9,132,24
BMW,2010 BMW M3 Sedan,2010,14,20,6,RWD,414,295,230,167,24
BMW,2010 BMW M6 Convertible,2010,11,17,6,RWD,500,383,7,96,62
BMW,2010 BMW M6 Coup,2010,11,17,6,RWD,500,383,7,91,62
BMW,2010 BMW X3,2010,17,24,6,AWD,260,225,217,140,62
BMW,2010 BMW X5,2010,12,17,6,AWD,555,500,243,226,201
BMW,2010 BMW X6,2010,12,17,6,AWD,555,500,12,148,191
BMW,2010 BMW Z4 Roadster,2010,18,28,6,RWD,255,220,143,10,254
BMW,2011 BMW 1 Series Convertible,2011,18,28,6,RWD,230,200,9,132,211
BMW,2011 BMW 1 Series Coupe,2011,20,28,6,RWD,300,300,9,127,211
BMW,2011 BMW 3 Series Convertible,2011,17,26,6,RWD,230,200,12,104,247
BMW,2011 BMW 3 Series Coup,2011,18,27,6,AWD,300,300,12,114,247
BMW,2011 BMW 3 Series Sedan,2011,23,36,6,RWD,265,425,174,144,24
BMW,2011 BMW 3 Series Sports Wagon,2011,17,26,6,RWD,230,200,184,137,24
BMW,2011 BMW 5 Series Gran Turismo,2011,15,22,8,RWD,400,450,134,23,107
BMW,2011 BMW 5 Series Sedan,2011,15,22,6,RWD,400,450,40,183,67
BMW,2011 BMW 7 Series,2011,14,20,6,AWD,400,450,210,200,110
BMW,2011 BMW ALPINA B7 Sedan,2011,14,20,6,AWD,500,516,104,213,110
BMW,2011 BMW ActiveHybrid 7 Sedan,2011,17,24,8,RWD,455,515,210,200,110
BMW,2011 BMW M3 Convertible,2011,13,20,6,RWD,414,295,7,111,11
BMW,2011 BMW M3 Coup,2011,14,20,6,RWD,414,295,9,132,24
BMW,2011 BMW M3 Sedan,2011,14,20,6,RWD,414,295,230,167,24
BMW,2011 BMW X3,2011,19,25,8,AWD,240,221,40,125,90
BMW,2011 BMW X5,2011,12,17,6,AWD,555,500,243,226,201
BMW,2011 BMW X6,2011,12,17,6,AWD,555,500,12,148,191
BMW,2011 BMW Z4 Roadster,2011,18,28,6,RWD,255,220,145,10,254
BMW,2012 BMW 1 Series Convertible,2012,18,28,6,RWD,230,200,21,132,211
BMW,2012 BMW 1 Series Coup,2012,18,28,6,RWD,230,200,21,142,211
BMW,2012 BMW 3 Series Convertible,2012,17,26,6,RWD,230,200,12,104,247
BMW,2012 BMW 3 Series Coup,2012,18,28,6,RWD,230,200,12,114,247
BMW,2012 BMW 3 Series Sports Wagon,2012,17,26,6,RWD,230,200,184,137,24
BMW,2012 BMW 5 Series Sedan,2012,23,34,8,RWD,240,260,40,183,67
BMW,2012 BMW 7 Series,2012,17,25,6,RWD,315,330,210,200,110
Bentley,2010 Bentley Azure T,2010,9,15,6,RWD,500,738,34,210,107
Bentley,2010 Bentley Brooklands,2010,9,15,6,RWD,530,774,34,193,107
Bentley,2010 Bentley Continental Flying Spur,2010,10,17,6,AWD,600,553,170,185,184
Bentley,2010 Bentley Continental GT,2010,10,17,6,AWD,552,479,195,109,123
Bentley,2010 Bentley Continental GTC,2010,10,17,6,AWD,600,553,195,109,125
Bentley,2010 Bentley Continental Supersports,2010,12,19,6,AWD,621,590,195,99,153
Bentley,2011 Bentley Continental Flying Spur,2011,10,17,6,AWD,600,553,170,185,184
Bentley,2011 Bentley Continental GTC,2011,11,18,6,AWD,600,553,195,109,135
Bentley,2011 Bentley Continental Supersports Convertible,2011,8,14,6,AWD,621,590,195,99,153
Bentley,2012 Bentley Continental Flying Spur,2012,8,13,6,AWD,552,479,170,118,184
Bentley,2012 Bentley Continental GT,2012,8,14,6,AWD,567,516,198,124,152
Bentley,2012 Bentley Continental Supersports Convertible,2012,8,14,6,AWD,621,590,195,99,153
Bentley,2012 Bentley Continental Supersports Coupe,2012,8,14,6,AWD,621,590,199,110,153
Bentley,2012 Bentley Mulsanne,2012,11,18,8,RWD,505,752,199,241,134
Buick,2010 Buick Enclave,2010,17,24,6,FWD,288,270,5,231,214
Buick,2010 Buick Lacrosse,2010,19,30,6,FWD,182,172,137,223,64
Buick,2010 Buick Lucerne,2010,17,26,4,FWD,227,237,41,193,82
Buick,2011 Buick Enclave,2011,16,22,6,AWD,288,270,5,231,214
Buick,2011 Buick Lacrosse,2011,19,30,6,FWD,182,172,137,223,64
Buick,2011 Buick Lucerne,2011,13,20,4,FWD,227,237,41,193,82
Buick,2011 Buick Regal,2011,13,21,6,FWD,220,258,223,203,64
Buick,2012 Buick Enclave,2012,17,24,6,FWD,288,270,5,49,214
Buick,2012 Buick Lacrosse,2012,25,36,6,FWD,182,172,137,223,64
Buick,2012 Buick Regal,2012,18,29,6,FWD,220,258,223,203,64
Buick,2012 Buick Verano,2012,22,31,6,FWD,180,171,63,203,24
Cadillac,2010 Cadillac CTS Sport Sedan,2010,18,27,6,RWD,270,223,2,223,49
Cadillac,2010 Cadillac CTS Sport Wagon,2010,18,27,6,RWD,270,223,2,221,52
Cadillac,2010 Cadillac CTS-V Sedan,2010,14,19,6,RWD,556,551,2,175,49
Cadillac,2010 Cadillac DTS,2010,15,23,4,FWD,275,295,153,183,107
Cadillac,2010 Cadillac Escalade,2010,14,20,6,RWD,403,417,23,135,214
Cadillac,2010 Cadillac Escalade ESV,2010,14,20,6,RWD,403,417,29,125,217
Cadillac,2010 Cadillac Escalade EXT,2010,13,20,6,AWD,403,417,6,100,217
Cadillac,2010 Cadillac Escalade Hybrid,2010,21,22,4,RWD,332,367,23,135,214
Cadillac,2010 Cadillac SRX,2010,18,25,6,FWD,265,223,225,132,118
Cadillac,2010 Cadillac STS,2010,18,27,6,RWD,302,272,132,183,52
Cadillac,2011 Cadillac CTS Coupe,2011,18,27,6,RWD,304,273,200,142,90
Cadillac,2011 Cadillac CTS Sport Sedan,2011,16,26,6,RWD,270,223,251,193,49
Cadillac,2011 Cadillac CTS Sport Wagon,2011,18,27,6,RWD,270,223,12,193,49
Cadillac,2011 Cadillac CTS-V Coupe,2011,12,18,6,RWD,556,551,200,142,90
Cadillac,2011 Cadillac CTS-V Sedan,2011,14,19,6,RWD,556,551,251,175,49
Cadillac,2011 Cadillac CTS-V Wagon,2011,14,19,6,RWD,556,551,12,193,49
Cadillac,2011 Cadillac DTS,2011,15,23,4,FWD,275,295,153,183,107
Cadillac,2011 Cadillac Escalade,2011,10,15,6,RWD,403,417,23,135,214
Cadillac,2011 Cadillac Escalade ESV,2011,14,18,6,RWD,403,417,29,64,217
Cadillac,2011 Cadillac Escalade EXT,2011,13,18,6,AWD,403,417,6,100,217
Cadillac,2011 Cadillac Escalade Hybrid,2011,20,23,4,RWD,332,367,23,135,214
Cadillac,2011 Cadillac SRX,2011,18,25,6,FWD,265,223,225,132,118
Cadillac,2011 Cadillac STS,2011,18,27,6,RWD,302,272,132,183,52
Cadillac,2012 Cadillac CTS Coupe,2012,18,27,6,RWD,318,275,179,142,90
Cadillac,2012 Cadillac CTS Sport Sedan,2012,16,26,6,RWD,270,223,251,193,49
Cadillac,2012 Cadillac CTS Sport Wagon,2012,18,27,6,RWD,270,223,12,193,49
Cadillac,2012 Cadillac CTS-V Coupe,2012,14,19,6,RWD,556,551,179,142,90
Cadillac,2012 Cadillac CTS-V Sedan,2012,14,19,6,RWD,556,551,251,175,49
Cadillac,2012 Cadillac CTS-V Wagon,2012,14,19,6,RWD,556,551,12,193,49
Cadillac,2012 Cadillac Escalade,2012,14,18,6,RWD,403,417,23,135,214
Cadillac,2012 Cadillac Escalade ESV,2012,14,18,6,RWD,403,417,29,64,217
Cadillac,2012 Cadillac Escalade Hybrid,2012,20,23,4,RWD,332,367,23,135,214
Cadillac,2012 Cadillac SRX Crossover,2012,12,18,6,FWD,308,265,225,132,118
Chevrolet,2009 Chevrolet Silverado 1500 Hybrid,2009,21,22,4,RWD,332,367,207,82,240
Chevrolet,2010 Chevrolet Avalanche,2010,11,16,6,RWD,320,335,245,153,217
Chevrolet,2010 Chevrolet Aveo5,2010,27,35,5,FWD,108,105,79,226,142
Chevrolet,2010 Chevrolet Camaro Coupe,2010,17,29,6,RWD,304,273,228,96,125
Chevrolet,2010 Chevrolet Colorado,2010,18,25,5,RWD,185,190,22,112,181
Chevrolet,2010 Chevrolet Corvette Convertible,2010,16,26,6,RWD,430,424,82,223,52
Chevrolet,2010 Chevrolet Corvette Coupe,2010,16,26,6,RWD,430,424,82,223,52
Chevrolet,2010 Chevrolet Corvette Grand Sport Convertible,2010,16,26,6,RWD,430,424,108,212,135
Chevrolet,2010 Chevrolet Corvette Grand Sport Coupe,2010,16,26,6,RWD,430,424,108,212,135
Chevrolet,2010 Chevrolet Corvette Z06,2010,15,24,6,RWD,505,470,108,212,135
Chevrolet,2010 Chevrolet Corvette ZR1,2010,14,20,6,RWD,638,604,123,212,135
Chevrolet,2010 Chevrolet Equinox,2010,22,32,6,FWD,182,172,162,148,49
Chevrolet,2010 Chevrolet Express,2010,10,13,4,RWD,310,334,60,24,224
Chevrolet,2010 Chevrolet HHR Panel,2010,16,23,5,FWD,155,150,123,66,219
Chevrolet,2010 Chevrolet HHR Wagon,2010,22,32,5,FWD,155,150,123,66,219
Chevrolet,2010 Chevrolet Impala,2010,14,22,4,FWD,211,216,226,210,59
Chevrolet,2010 Chevrolet Malibu,2010,22,30,4,FWD,169,160,7,170,249
Chevrolet,2010 Chevrolet Malibu Hybrid,2010,26,34,4,FWD,164,159,7,170,249
Chevrolet,2010 Chevrolet Silverado 1500,2010,15,20,4,RWD,195,260,215,85,237
Chevrolet,2010 Chevrolet Silverado 1500 Hybrid,2010,21,22,4,RWD,332,367,207,82,240
Chevrolet,2010 Chevrolet Suburban,2010,15,21,6,RWD,320,335,16,158,217
Chevrolet,2010 Chevrolet Tahoe,2010,15,21,6,RWD,320,335,10,161,214
Chevrolet,2010 Chevrolet Tahoe Hybrid,2010,21,22,4,RWD,332,367,10,102,214
Chevrolet,2010 Chevrolet Traverse,2010,17,24,6,FWD,281,266,87,57,199
Chevrolet,2011 Chevrolet Avalanche,2011,15,21,6,RWD,320,335,245,153,217
Chevrolet,2011 Chevrolet Aveo,2011,27,35,5,FWD,108,105,214,226,173
Chevrolet,2011 Chevrolet Aveo5,2011,27,35,5,FWD,108,105,79,226,142
Chevrolet,2011 Chevrolet Camaro Convertible,2011,17,28,6,RWD,312,278,228,109,125
Chevrolet,2011 Chevrolet Camaro Coupe,2011,17,28,6,RWD,312,278,228,96,125
Chevrolet,2011 Chevrolet Colorado,2011,18,25,5,RWD,185,190,22,112,181
Chevrolet,2011 Chevrolet Corvette Convertible,2011,16,26,6,RWD,430,424,82,223,52
Chevrolet,2011 Chevrolet Corvette Coupe,2011,16,26,6,RWD,430,424,82,223,52
Chevrolet,2011 Chevrolet Corvette Grand Sport Convertible,2011,16,26,6,RWD,430,424,108,212,135
Chevrolet,2011 Chevrolet Corvette Grand Sport Coupe,2011,16,26,6,RWD,430,424,108,212,135
Chevrolet,2011 Chevrolet Corvette Z06,2011,15,24,6,RWD,505,470,108,212,135
Chevrolet,2011 Chevrolet Corvette ZR1,2011,14,20,6,RWD,638,604,123,212,135
Chevrolet,2011 Chevrolet Cruze,2011,26,36,6,FWD,136,123,245,195,3
Chevrolet,2011 Chevrolet Equinox,2011,22,32,6,FWD,182,172,162,148,49
Chevrolet,2011 Chevrolet Express,2011,13,17,4,RWD,310,334,60,77,219
Chevrolet,2011 Chevrolet HHR Panel,2011,16,23,5,FWD,155,150,123,66,219
Chevrolet,2011 Chevrolet HHR Wagon,2011,22,32,5,FWD,155,150,123,66,219
Chevrolet,2011 Chevrolet Impala,2011,14,22,4,FWD,211,216,226,210,59
Chevrolet,2011 Chevrolet Malibu,2011,22,33,6,FWD,169,160,7,170,249
Chevrolet,2011 Chevrolet Silverado 1500,2011,15,20,4,RWD,195,260,102,77,237
Chevrolet,2011 Chevrolet Silverado 1500 Hybrid,2011,20,223,4,RWD,332,367,207,82,240
Chevrolet,2011 Chevrolet Suburban Half-Ton,2011,15,21,6,RWD,320,335,16,158,217
Chevrolet,2011 Chevrolet Suburban Three-Quarter-Ton,2011,10,16,6,RWD,352,382,16,158,217
Chevrolet,2011 Chevrolet Tahoe,2011,15,21,6,RWD,320,335,10,161,214
Chevrolet,2011 Chevrolet Tahoe Hybrid,2011,20,23,4,RWD,332,367,10,102,214
Chevrolet,2011 Chevrolet Traverse,2011,17,24,6,FWD,281,266,87,57,199
Chevrolet,2012 Chevrolet Camaro Convertible,2012,17,28,6,RWD,323,278,228,109,125
Chevrolet,2012 Chevrolet Camaro Coupe,2012,17,28,6,RWD,323,278,228,96,125
Chevrolet,2012 Chevrolet Colorado,2012,18,25,5,RWD,185,190,22,112,181
Chevrolet,2012 Chevrolet Corvette Convertible,2012,16,26,6,RWD,430,424,82,223,52
Chevrolet,2012 Chevrolet Corvette Coupe,2012,16,26,6,RWD,430,424,82,223,52
Chevrolet,2012 Chevrolet Corvette Grand Sport Convertible,2012,16,26,6,RWD,430,424,108,212,135
Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012,16,26,6,RWD,430,424,108,212,135
Chevrolet,2012 Chevrolet Corvette Z06,2012,15,24,6,RWD,505,470,108,212,135
Chevrolet,2012 Chevrolet Corvette ZR1,2012,14,21,6,RWD,638,604,123,212,135
Chevrolet,2012 Chevrolet Cruze,2012,25,36,6,FWD,138,123,245,195,3
Chevrolet,2012 Chevrolet Equinox,2012,15,22,6,FWD,182,172,162,148,49
Chevrolet,2012 Chevrolet Express,2012,13,18,4,RWD,310,334,60,77,219
Chevrolet,2012 Chevrolet Impala,2012,13,22,6,FWD,300,262,226,210,59
Chevrolet,2012 Chevrolet Malibu,2012,22,33,6,FWD,169,160,7,170,249
Chevrolet,2012 Chevrolet Sonic Hatchback,2012,26,35,5,FWD,138,125,198,236,198
Chevrolet,2012 Chevrolet Sonic Sedan,2012,26,35,5,FWD,138,125,44,236,198
Chevrolet,2012 Chevrolet Traverse,2012,17,24,6,FWD,281,266,87,57,199
Chrysler,2010 Chrysler 300,2010,18,26,4,RWD,178,190,134,203,90
Chrysler,2010 Chrysler Sebring Convertible,2010,20,29,4,FWD,173,166,58,205,24
Chrysler,2010 Chrysler Sebring Sedan,2010,21,30,4,FWD,173,166,233,218,16
Chrysler,2010 Chrysler Town and Country,2010,16,23,6,FWD,197,230,23,214,161
Chrysler,2011 Chrysler 200 Convertible,2011,18,29,6,FWD,173,166,83,190,49
Chrysler,2011 Chrysler 200 Sedan,2011,21,30,4,FWD,173,166,5,203,49
Chrysler,2011 Chrysler 300,2011,18,27,5,RWD,292,260,180,203,113
Chrysler,2011 Chrysler Town and Country,2011,17,25,6,FWD,283,260,31,188,206
Dodge,2010 Dodge Avenger,2010,21,30,4,FWD,173,166,241,216,32
Dodge,2010 Dodge Caliber,2010,23,31,5,FWD,158,141,63,254,212
Dodge,2010 Dodge Challenger,2010,17,25,5,RWD,250,250,158,170,131
Dodge,2010 Dodge Charger,2010,17,25,4,RWD,250,250,219,198,100
Dodge,2010 Dodge Dakota,2010,15,20,4,RWD,210,235,173,206,29
Dodge,2010 Dodge Grand Caravan,2010,17,25,6,FWD,251,259,24,22,161
Dodge,2010 Dodge Journey,2010,19,25,4,FWD,173,166,23,166,42
Dodge,2010 Dodge Nitro,2010,16,22,4,RWD,210,235,192,239,64
Dodge,2010 Dodge Ram 1500,2010,14,20,4,RWD,215,235,188,102,224
Dodge,2010 Dodge Viper Convertible,2010,13,22,6,RWD,600,560,108,185,118
Dodge,2010 Dodge Viper Coup,2010,13,22,6,RWD,600,560,108,210,118
Dodge,2011 Dodge Avenger,2011,20,31,6,FWD,173,166,28,203,57
Dodge,2011 Dodge Caliber,2011,24,32,5,FWD,158,141,63,254,212
Dodge,2011 Dodge Challenger,2011,18,27,5,RWD,305,268,158,170,131
Dodge,2011 Dodge Charger,2011,18,27,5,RWD,292,260,213,203,113
Dodge,2011 Dodge Dakota,2011,15,20,4,RWD,210,235,173,206,29
Dodge,2011 Dodge Durango,2011,16,23,5,RWD,290,260,211,9,133
Dodge,2011 Dodge Grand Caravan,2011,17,25,6,FWD,283,260,31,189,207
Dodge,2011 Dodge Journey,2011,19,26,4,FWD,173,166,23,156,42
Dodge,2011 Dodge Nitro,2011,16,21,5,RWD,260,265,192,255,65
Dodge,2011 Dodge Ram 1500,2011,14,20,4,RWD,215,235,188,102,224
Dodge,2012 Dodge Avenger,2012,21,30,4,FWD,173,166,28,203,57
Dodge,2012 Dodge Caliber,2012,24,32,5,FWD,158,141,62,254,211
Dodge,2012 Dodge Challenger,2012,18,27,5,RWD,305,268,157,170,130
Dodge,2012 Dodge Charger,2012,16,25,5,RWD,370,395,213,203,113
Dodge,2012 Dodge Durango,2012,12,17,5,RWD,290,260,210,8,133
Dodge,2012 Dodge Grand Caravan,2012,17,25,6,FWD,283,260,31,188,206
Dodge,2012 Dodge Journey,2012,19,26,4,FWD,173,166,22,155,41
